qid;query;expanded_queries
PLAIN-2;do cholesterol statin drugs cause breast cancer;"['1. ""Are cholesterol-lowering statins linked to an increased risk of breast cancer?""']"
PLAIN-12;exploiting autophagy to live longer;"['1. ""Maximizing lifespan through autophagy mechanisms""']"
PLAIN-23;how to reduce exposure to alkylphenols through your diet;"['""How to minimize consumption of alkylphenol in food""']"
PLAIN-33;what’s driving america’s obesity problem;"['1. ""causes of america\'s obesity epidemic""']"
PLAIN-44;who should be careful about curcumin;['1. Who is at risk when consuming curcumin supplements?']
PLAIN-56;foods for glaucoma;['1. Foods beneficial for managing eye pressure in people with glaucoma']
PLAIN-68;what is actually in chicken nuggets;['1. What ingredients are typically included in a chicken nugget?']
PLAIN-78;what do meat purge and cola have in common;['1. What are the similarities between meat purge and cola drinks?']
PLAIN-91;chronic headaches and pork parasites;['1. Chronic headaches and pork worms']
PLAIN-102;stopping heart disease in childhood;['1. Preventing and treating childhood heart diseases']
PLAIN-112;food dyes and adhd;['1. Food Coloring and ADHD']
PLAIN-123;how citrus might help keep your hands warm;['1. What are some natural remedies for keeping hands warm using citrus fruits?']
PLAIN-133;starving tumors of their blood supply;"['1. ""Starved tumor cells deprived of nutrient delivery""']"
PLAIN-143;are dental x-rays safe;['1. Are dental X-rays harmful?']
PLAIN-153;how should i take probiotics;['How can I incorporate probiotics into my diet?']
PLAIN-165;breast cancer alcohol how much is safe;['1. Safe alcohol intake for those with breast cancer']
PLAIN-175;diet and cellulite;['1. Diet plan for reducing cellulite']
PLAIN-186;best treatment for constipation;['2. Effective remedies for alleviating constipation symptoms']
PLAIN-196;should we avoid titanium dioxide;['1. Should we consider alternatives for using titanium dioxide in our products?']
PLAIN-207;avoiding cooked meat carcinogens;"['1. ""reducing consumption of processed meats""']"
PLAIN-217;plant-based diets for psoriasis;"['1. ""Plant-based diet treatment for psoriasis""']"
PLAIN-227;increasing muscle strength with fenugreek;['1. How can I increase my muscle strength using fenugreek?']
PLAIN-238;how chemically contaminated are we;['How toxic is our environment']
PLAIN-248;treating an enlarged prostate with diet;['1. The effects of dietary changes in managing enlarged prostatic condition']
PLAIN-259;optimal phytosterol dose and source;"['1. ""Recommended phytosterol intake for optimal health benefits""']"
PLAIN-270;is caffeinated tea really dehydrating;['Is caffeine in tea truly responsible for causing dehydration?']
PLAIN-280;mercury testing recommended before pregnancy;['Mercury Testing Recommended Before Pregnancy']
PLAIN-291;stool size and breast cancer risk;"['1. ""Impact of stool size on breast cancer incidence""']"
PLAIN-307;vitamin d shedding some light on the new recommendations;['1. What are the recent changes in vitamin D guidelines and how do they impact health?']
PLAIN-320;breast cancer and diet;"['1. ""dietary habits in breast cancer prevention""']"
PLAIN-332;can antioxidant-rich spices counteract the effects of a high-fat meal;['2. Can consuming antioxidant-rich spices alleviate symptoms after indulging in a fatty feast?']
PLAIN-344;dioxins stored in our own fat may increase diabetes risk;"['1. ""Potential link between dioxin accumulation in body fat and increased diabetes risk""']"
PLAIN-358;didnt another study show carnitine was good for the heart;"['1. ""has research proven that taking carnitine supplements is beneficial for cardiovascular health?""']"
PLAIN-371;any update on the scary in vitro avocado data;['1. Any updates on the in vitro avocado safety study?']
PLAIN-383;what do you think of dr jenkins take on paleolithic diets;['How about:']
PLAIN-395;what about pepper plus turmeric in v8 juice;"['How about trying ""pepper and turmeric in v8 drink""?']"
PLAIN-407;is annatto food coloring safe;['1. Are there any health risks associated with consuming annatto as a food coloring?']
PLAIN-418;fresh fruit versus frozen--which is better;['1. What are the nutritional benefits of fresh fruits compared to frozen fruits?']
PLAIN-430;are krill oil supplements better than fish oil capsules;['1. Are Krill Oil Supplements More Effective Than Fish Oil Capsules?']
PLAIN-441;is apple cider vinegar good for you;['2. Can apple cider vinegar improve health?']
PLAIN-457;how can you believe in any scientific study;['How do I maintain skepticism towards science?']
PLAIN-468;is vitamin d3 cholecalciferol preferable to d2 ergocalciferol;['1. What are the benefits of taking D3 over D2?']
PLAIN-478;accidents;"['1. ""traffic accidents""']"
PLAIN-488;adenovirus 36;"['1. ""Adenovirus strain 36""']"
PLAIN-499;african-american;"['1. ""black americans""']"
PLAIN-510;airport scanners;['1. Airport security screening equipment']
